"","uid_max","visitor_access_level","total_days","other.web.sites","search.engines","social.networks","typed_bookmarked","Purchase.IDs","product","last_touch_referrer"
"1","1000044","subscribed",33,0,1,2,35,"D6103435","Digital Only - Annual","typed/bookmarked"
"2","1001195","anonymous",1,0,0,0,1,"D6042315","Digital Only - Annual","typed/bookmarked"
"3","1001458","reg",1,1,0,0,0,"D6027481","Digital Only - Monthly","other web sites"
"4","1003606","reg",1,0,1,0,0,"D6075978","Premium (Digital + Print)","search engines"
"5","1003889","reg",1,1,0,0,1,"D5925314","Premium (Digital + Print)","other web sites"
"6","1005010","subscribed",3,1,0,0,4,"D6045682","Digital Only - Annual","typed/bookmarked"
"7","1006839","reg",1,0,1,0,0,"D6295951","Digital Only - Annual","search engines"
"8","1007294","subscribed",50,45,1,0,57,"D6270731","Digital Only - Annual","typed/bookmarked"
"9","1010708","reg",2,0,0,0,2,"D5939994","Digital Only - Annual","typed/bookmarked"
"10","1012104","reg",4,4,0,0,1,"D6027514","Digital Only - Annual","other web sites"
"11","1016544","reg",9,6,4,0,1,"D6107654","Digital Only - Monthly","search engines"
"12","1016591","reg",1,0,1,0,1,"D6282197","Digital Only - Monthly","search engines"
"13","1018943","reg",1,0,1,0,0,"D6297405","Digital Only - Annual","search engines"
"14","1020503190594017987_4982699725596114558","anonymous",2,0,0,0,2,"D5940370","Digital Only - Annual","typed/bookmarked"
"15","1021466984425323354_8113392211147051209","anonymous",1,0,0,0,1,"D5941397","Digital Only - Monthly","typed/bookmarked"
"16","1021518","reg",2,0,0,0,2,"D6214460","All Access","typed/bookmarked"
"17","1023790275987423037_7638403437096442935","anonymous",1,1,0,0,0,"D6216224","Digital Only - Monthly","other web sites"
"18","102414","subscribed",1,0,1,0,1,"D6288700","All Access","typed/bookmarked"
"19","1025200675283704951_7106377749421340440","anonymous",1,1,0,0,0,"D6269802","Digital Only - Monthly","other web sites"
"20","1025259","subscribed",17,0,1,0,22,"D6287764","Digital Only - Annual","typed/bookmarked"
"21","1025635","reg",3,0,0,0,3,"D6108825","Digital Only - Annual","typed/bookmarked"
"22","1026678","reg",1,0,0,0,1,"D6258586","Digital Only - Annual","typed/bookmarked"
"23","1029041","anonymous",1,1,0,0,0,"D6269389","Digital Only - Monthly","other web sites"
"24","1031213505414006260_7380925674136948387","anonymous",1,0,0,0,1,"D5921206","Digital Only - Annual","typed/bookmarked"
"25","1033638","reg",12,14,0,0,1,"D6103586","Digital Only - Monthly","other web sites"
"26","1038214","anonymous",1,0,0,0,1,"D6284003","Digital Only - Annual","typed/bookmarked"
"27","1038833","subscribed",2,0,0,0,2,"D5936870","Digital Only - Annual","typed/bookmarked"
"28","1041473","anonymous",1,0,0,0,1,"D6003929","Digital Only - Monthly","typed/bookmarked"
"29","1042182","reg",1,0,1,0,0,"D6056133","Digital Only - Monthly","search engines"
"30","1043212","reg",1,0,1,0,0,"D6295970","Digital Only - Monthly","search engines"
"31","1043390","subscribed",32,22,0,0,15,"D6271340","All Access","other web sites"
"32","1043929","subscribed",28,0,0,0,38,"D6102293","Premium (Digital + Print)","typed/bookmarked"
"33","1044123013608222817_7749376006741309439","anonymous",1,0,1,0,0,"D6306352","Digital Only - Annual","search engines"
"34","1044374","reg",1,1,1,0,0,"D6284027","Digital Only - Monthly","other web sites"
"35","1044956","anonymous",1,0,1,0,0,"D6043834","Digital Only - Monthly","search engines"
"36","1046322","subscribed",1,0,0,1,0,"D6066646","Digital Only - Annual","social networks"
"37","1052331","subscribed",3,0,2,0,1,"D6227962","Digital Only - Annual","search engines"
"38","1052814","anonymous",1,0,1,0,1,"D6103712","Premium (Digital + Print)","search engines"
"39","1053710","anonymous",1,0,0,0,1,"D6002717","Digital Only - Annual","typed/bookmarked"
