"","uid_max","visitor_access_level","total_days","missing","other web sites","search engines","social networks","typed/bookmarked","Purchase.IDs","Referrer.Type","product"
"1","1000451",3,1,0,0,0,0,0,"D6313878","typed/bookmarked","Digital Only"
"2","1000597",3,1,0,0,0,0,0,"D6313489","missing","Digital Only"
"3","1001590",1,1,0,0,0,0,0,"D6285250","social networks","Digital Only"
"4","1001860",0,1,0,0,1,0,1,"D6064697","search engines","Digital Only"
"5","1001963",0,1,0,0,0,0,0,"D6002945","other web sites","Print Only"
"6","1002518",1,1,0,0,0,0,0,"D6088526","typed/bookmarked","Health Pulse"
"7","1002535",1,1,0,0,1,0,0,"D6057419","other web sites","Digital Only"
"8","1002701",3,12,0,2,10,0,8,"D6234933","typed/bookmarked","Health Pulse"
"9","1002824",3,3,0,0,0,0,2,"D6064536","typed/bookmarked","Digital Only"
"10","1002940",1,2,0,0,1,0,0,"D6108076","typed/bookmarked","Health Pulse"
"11","1003695",1,4,0,0,0,0,3,"D6107825","typed/bookmarked","Health Pulse"
"12","1004176",0,1,0,0,0,0,0,"D6283550","typed/bookmarked","Digital Only"
"13","1004706",1,1,0,0,0,0,0,"D5940138","search engines","Digital Only"
"14","1004746",0,1,0,0,1,0,0,"D6176791","other web sites","Digital Only"
"15","1004967",1,1,0,0,0,0,0,"D6072856","typed/bookmarked","Digital Only"
"16","1005211",0,1,0,0,0,0,0,"D6108777","typed/bookmarked","Digital Only"
"17","1005599",0,1,0,0,0,0,0,"D5926565","search engines","Digital Only"
"18","1005673",3,5,0,0,0,0,8,"D5938830","typed/bookmarked","Health Pulse"
"19","1006227",3,7,0,0,0,4,2,"D6226589","social networks","Digital and Print"
"20","1006353",3,2,0,0,0,0,1,"D6320560","typed/bookmarked","Digital and Print"
"21","1007543",0,1,0,0,0,0,0,"D6162340","typed/bookmarked","Print Only"
"22","1008067",0,1,0,0,0,0,0,"D6214836","search engines","Digital Only"
"23","1008088",3,14,0,0,6,0,16,"D6109232","typed/bookmarked","Digital Only"
"24","1008428",1,1,0,0,0,0,0,"D6076068","typed/bookmarked","Digital Only"
"25","1008531",3,3,0,0,0,0,2,"D6286299","typed/bookmarked","Digital and Print"
"26","1008550",1,1,0,0,0,0,0,"D6288406","search engines","Health Pulse"
"27","1009372",3,11,0,0,0,0,14,"D6088944","typed/bookmarked","Digital Only"
"28","1009793",3,3,0,0,0,0,2,"D6073887","typed/bookmarked","Print Only"
"29","1010563",3,1,1,0,0,1,1,"D6030486","other web sites","Digital Only"
"30","1010616733621018454_4940116744790247327",0,1,0,0,0,0,0,"D6154575","typed/bookmarked","Digital and Print"
"31","1011952",3,1,0,0,1,0,0,"D6074010","typed/bookmarked","Digital Only"
"32","1012150",1,1,0,0,0,0,0,"D6320440","typed/bookmarked","Digital Only"
"33","1012354",3,2,0,0,0,0,1,"D6313775","typed/bookmarked","Print Only"
"34","1012369",3,2,0,0,0,0,2,"D5924302","missing","Digital Only"
"35","1012430",0,1,0,0,0,0,0,"D6246939","other web sites","Digital Only"
"36","1012474",3,10,1,0,0,0,11,"D6346140","other web sites","Digital Only"
"37","1013480",1,4,1,0,2,0,3,"D6258992","search engines","Digital and Print"
"38","1013582",1,1,0,0,0,0,0,"D6089948","typed/bookmarked","Digital Only"
"39","1013615",3,5,0,0,1,0,3,"D6056596","typed/bookmarked","Digital Only"
