date,unique_visitors,conv_rates,new_paid_orders
5/1/2023,455,0.054945055,25
5/2/2023,440,0.045454545,20
5/3/2023,395,0.060759494,24
5/4/2023,368,0.065217391,24
5/5/2023,330,0.048484848,16
5/6/2023,171,0.029239766,5
5/7/2023,182,0.054945055,10
5/8/2023,493,0.050709939,25
5/9/2023,593,0.038785835,23
5/10/2023,541,0.049907579,27
5/11/2023,494,0.05465587,27
5/12/2023,377,0.039787798,15
5/13/2023,172,0.011627907,2
5/14/2023,229,0.034934498,8
5/15/2023,508,0.041338583,21
5/16/2023,474,0.035864979,17
5/17/2023,686,0.065597668,45
5/18/2023,584,0.025684932,15
5/19/2023,595,0.031932773,19
5/20/2023,262,0.026717557,7
5/21/2023,228,0.026315789,6
5/22/2023,613,0.040783034,25
5/23/2023,610,0.057377049,35
5/24/2023,542,0.040590406,22
5/25/2023,506,0.031620553,16
5/26/2023,384,0.028645833,11
5/27/2023,162,0.018518519,3
5/28/2023,175,0.022857143,4
5/29/2023,294,0.006802721,2
5/30/2023,475,0.023157895,11
5/31/2023,500,0.046,23
6/1/2023,547,0.043875686,24
6/2/2023,429,0.020979021,9
6/3/2023,224,0.040178571,9
6/4/2023,207,0.062801932,13
6/5/2023,563,0.056838366,32
6/6/2023,539,0.055658627,30
6/7/2023,493,0.038539554,19
6/8/2023,649,0.047765794,31
6/9/2023,503,0.031809145,16
6/10/2023,191,0.031413613,6
6/11/2023,261,0.057471264,15
6/12/2023,766,0.040469974,31
6/13/2023,614,0.037459283,23
6/14/2023,607,0.034596376,21
6/15/2023,492,0.042682927,21
6/16/2023,580,0.044827586,26
6/17/2023,247,0.020242915,5
6/18/2023,229,0.017467249,4
6/19/2023,561,0.039215686,22
6/20/2023,615,0.03902439,24
6/21/2023,537,0.039106145,21
6/22/2023,570,0.056140351,32
6/23/2023,482,0.047717842,23
6/24/2023,247,0.032388664,8
6/25/2023,292,0.030821918,9
6/26/2023,678,0.045722714,31
6/27/2023,627,0.038277512,24
6/28/2023,612,0.034313725,21
6/29/2023,554,0.037906137,21
6/30/2023,441,0.045351474,20
7/1/2023,228,0.01754386,4
7/2/2023,229,0.026200873,6
7/3/2023,421,0.03087886,13
7/4/2023,295,0.006779661,2
7/5/2023,646,0.046439628,30
7/6/2023,609,0.02955665,18
7/7/2023,473,0.054968288,26
7/8/2023,248,0.028225806,7
7/9/2023,255,0.039215686,10
7/10/2023,877,0.043329532,38
7/11/2023,791,0.03539823,28
7/12/2023,686,0.04664723,32
7/13/2023,656,0.035060976,23
7/14/2023,509,0.041257367,21
7/15/2023,271,0.033210332,9
7/16/2023,287,0.031358885,9
7/17/2023,687,0.033478894,23
7/18/2023,572,0.073426573,42
7/19/2023,548,0.03649635,20
7/20/2023,572,0.031468531,18
7/21/2023,490,0.055102041,27
7/22/2023,206,0.048543689,10
7/23/2023,254,0.043307087,11
7/24/2023,725,0.035862069,26
7/25/2023,607,0.036243822,22
7/26/2023,626,0.049520767,31
7/27/2023,571,0.03502627,20
7/28/2023,520,0.042307692,22
7/29/2023,298,0.016778523,5
7/30/2023,287,0.031358885,9
7/31/2023,680,0.039705882,27
8/1/2023,799,0.037546934,30
8/2/2023,958,0.026096033,25
8/3/2023,712,0.046348315,33
8/4/2023,733,0.051841746,38
8/5/2023,570,0.012280702,7
8/6/2023,513,0.013645224,7
8/7/2023,884,0.024886878,22
8/8/2023,824,0.023058252,19
8/9/2023,779,0.029525032,23
8/10/2023,865,0.031213873,27
8/11/2023,517,0.030947776,16
8/12/2023,314,0.025477707,8
8/13/2023,417,0.033573141,14
8/14/2023,800,0.05375,43
8/15/2023,710,0.030985915,22
8/16/2023,679,0.032400589,22
8/17/2023,822,0.040145985,33
8/18/2023,873,0.037800687,33
8/19/2023,347,0.025936599,9
8/20/2023,392,0.020408163,8
8/21/2023,830,0.037349398,31
8/22/2023,887,0.03156708,28
8/23/2023,1129,0.029229407,33
8/24/2023,762,0.044619423,34
8/25/2023,612,0.029411765,18
8/26/2023,213,0.028169014,6
8/27/2023,465,0.040860215,19
8/28/2023,772,0.047927461,37
8/29/2023,674,0.023738872,16
8/30/2023,651,0.050691244,33
8/31/2023,698,0.02722063,19
9/1/2023,697,0.022955524,16
9/2/2023,389,0.023136247,9
9/3/2023,341,0.014662757,5
9/4/2023,443,0.015801354,7
9/5/2023,795,0.049056604,39
9/6/2023,814,0.035626536,29
9/7/2023,721,0.042995839,31
9/8/2023,759,0.028985507,22
9/9/2023,368,0.029891304,11
9/10/2023,349,0.028653295,10
9/11/2023,860,0.030232558,26
9/12/2023,788,0.044416244,35
9/13/2023,834,0.037170264,31
9/14/2023,830,0.051807229,43
9/15/2023,934,0.035331906,33
9/16/2023,406,0.02955665,12
9/17/2023,361,0.024930748,9
9/18/2023,793,0.044136192,35
9/19/2023,792,0.042929293,34
9/20/2023,890,0.04494382,40
9/21/2023,1197,0.034252297,41
9/22/2023,824,0.038834951,32
9/23/2023,387,0.020671835,8
9/24/2023,274,0.02919708,8
9/25/2023,591,0.052453469,31
9/26/2023,484,0.05785124,28
9/27/2023,470,0.053191489,25
9/28/2023,613,0.04730832,29
9/29/2023,606,0.041254125,25
9/30/2023,304,0.016447368,5
10/1/2023,301,0.016611296,5
10/2/2023,904,0.033185841,30
10/3/2023,850,0.021176471,18
10/4/2023,732,0.036885246,27
10/5/2023,592,0.038851351,23
10/6/2023,556,0.052158273,29
10/7/2023,272,0.036764706,10
10/8/2023,242,0.02892562,7
10/9/2023,504,0.047619048,24
10/10/2023,489,0.034764826,17
10/11/2023,570,0.045614035,26
10/12/2023,572,0.04020979,23
10/13/2023,474,0.03164557,15
10/14/2023,210,0.028571429,6
10/15/2023,211,0.023696682,5
10/16/2023,493,0.036511156,18
10/17/2023,748,0.032085561,24
10/18/2023,636,0.031446541,20
10/19/2023,627,0.033492823,21
10/20/2023,608,0.049342105,30
10/21/2023,218,0.02293578,5
10/22/2023,236,0.029661017,7
10/23/2023,494,0.042510121,21
10/24/2023,516,0.040697674,21
10/25/2023,526,0.032319392,17
10/26/2023,523,0.036328872,19
10/27/2023,507,0.033530572,17
10/28/2023,309,0.01618123,5
10/29/2023,263,0.02661597,7
10/30/2023,530,0.039622642,21
10/31/2023,487,0.034907598,17
11/1/2023,513,0.035087719,18
11/2/2023,593,0.050590219,30
11/3/2023,519,0.034682081,18
11/4/2023,236,0.025423729,6
11/5/2023,276,0.036231884,10
11/6/2023,649,0.049306626,32
11/7/2023,511,0.037181996,19
11/8/2023,772,0.045336788,35
11/9/2023,565,0.040707965,23
11/10/2023,411,0.03649635,15
11/11/2023,211,0.033175355,7
11/12/2023,249,0.02811245,7
11/13/2023,811,0.035758323,29
11/14/2023,686,0.027696793,19
11/15/2023,631,0.023771791,15
11/16/2023,683,0.040995608,28
11/17/2023,494,0.010121457,5
11/18/2023,262,0.030534351,8
11/19/2023,252,0.031746032,8
11/20/2023,675,0.06962963,47
11/21/2023,497,0.034205231,17
11/22/2023,499,0.028056112,14
11/23/2023,282,0.014184397,4
11/24/2023,283,0.03180212,9
11/25/2023,241,0.020746888,5
11/26/2023,264,0.026515152,7
11/27/2023,600,0.038333333,23
11/28/2023,653,0.035222052,23
11/29/2023,679,0.041237113,28
11/30/2023,658,0.037993921,25
12/1/2023,524,0.036259542,19
12/2/2023,279,0.017921147,5
12/3/2023,255,0.02745098,7
12/4/2023,635,0.05511811,35
12/5/2023,559,0.033989267,19
12/6/2023,460,0.058695652,27
12/7/2023,534,0.026217228,14
12/8/2023,515,0.040776699,21
12/9/2023,303,0.01650165,5
12/10/2023,293,0.017064846,5
12/11/2023,659,0.040971168,27
12/12/2023,702,0.047008547,33
12/13/2023,664,0.045180723,30
12/14/2023,641,0.03900156,25
12/15/2023,436,0.041284404,18
12/16/2023,239,0.033472803,8
12/17/2023,251,0.023904382,6
12/18/2023,526,0.053231939,28
12/19/2023,560,0.023214286,13
12/20/2023,538,0.035315985,19
12/21/2023,462,0.043290043,20
12/22/2023,369,0.035230352,13
12/23/2023,194,0.025773196,5
12/24/2023,174,0.040229885,7
12/25/2023,156,0.025641026,4
12/26/2023,319,0.034482759,11
12/27/2023,356,0.036516854,13
12/28/2023,325,0.033846154,11
12/29/2023,266,0.030075188,8
12/30/2023,172,0.058139535,10
12/31/2023,146,0.01369863,2
1/1/2024,204,0.034313725,7
1/2/2024,674,0.017804154,12
1/3/2024,721,0.045769764,33
1/4/2024,772,0.047927461,37
1/5/2024,550,0.029090909,16
1/6/2024,227,0.044052863,10
1/7/2024,243,0.049382716,12
1/8/2024,636,0.039308176,25
1/9/2024,636,0.033018868,21
1/10/2024,585,0.039316239,23
1/11/2024,626,0.044728435,28
1/12/2024,533,0.041275797,22
1/13/2024,287,0.020905923,6
1/14/2024,282,0.039007092,11
1/15/2024,464,0.043103448,20
1/16/2024,627,0.036682616,23
1/17/2024,676,0.042899408,29
1/18/2024,683,0.05124451,35
1/19/2024,700,0.058571429,41
1/20/2024,272,0.044117647,12
1/21/2024,330,0.036363636,12
1/22/2024,773,0.053040103,41
1/23/2024,683,0.045387994,31
1/24/2024,719,0.043115438,31
1/25/2024,726,0.038567493,28
1/26/2024,586,0.023890785,14
1/27/2024,316,0.037974684,12
1/28/2024,393,0.027989822,11
1/29/2024,712,0.039325843,28
1/30/2024,708,0.04519774,32
1/31/2024,753,0.039840637,30
2/1/2024,700,0.034285714,24
2/2/2024,520,0.042307692,22
2/3/2024,366,0.035519126,13
2/4/2024,550,0.009090909,5
2/5/2024,841,0.040428062,34
2/6/2024,727,0.052269601,38
2/7/2024,558,0.044802867,25
2/8/2024,667,0.04047976,27
2/9/2024,629,0.044515103,28
2/10/2024,331,0.033232628,11
2/11/2024,287,0.017421603,5
2/12/2024,543,0.042357274,23
2/13/2024,665,0.043609023,29
2/14/2024,623,0.043338684,27
2/15/2024,703,0.062588905,44
2/16/2024,619,0.033925687,21
2/17/2024,332,0.021084337,7
2/18/2024,325,0.021538462,7
2/19/2024,631,0.039619651,25
2/20/2024,755,0.038410596,29
2/21/2024,659,0.039453718,26
2/22/2024,599,0.043405676,26
2/23/2024,601,0.031613977,19
2/24/2024,311,0.025723473,8
2/25/2024,359,0.022284123,8
2/26/2024,715,0.039160839,28
2/27/2024,685,0.042335766,29
2/28/2024,591,0.033840948,20
2/29/2024,641,0.028081123,18
3/1/2024,641,0.037441498,24
3/2/2024,292,0.006849315,2
3/3/2024,357,0.014005602,5
3/4/2024,955,0.029319372,28
3/5/2024,956,0.038702929,37
3/6/2024,863,0.039397451,34
3/7/2024,784,0.026785714,21
3/8/2024,648,0.043209877,28
3/9/2024,305,0.032786885,10
3/10/2024,335,0.020895522,7
3/11/2024,689,0.033381713,23
3/12/2024,709,0.035260931,25
3/13/2024,722,0.033240997,24
3/14/2024,695,0.031654676,22
3/15/2024,585,0.023931624,14
3/16/2024,281,0.017793594,5
3/17/2024,347,0.017291066,6
3/18/2024,732,0.031420765,23
3/19/2024,648,0.058641975,38
3/20/2024,871,0.041331803,36
3/21/2024,732,0.030054645,22
3/22/2024,748,0.032085561,24
3/23/2024,379,0.01055409,4
3/24/2024,378,0.029100529,11
3/25/2024,611,0.031096563,19
3/26/2024,623,0.036918138,23
3/27/2024,683,0.027818448,19
3/28/2024,561,0.023172906,13
3/29/2024,479,0.029227557,14
3/30/2024,267,0.014981273,4
3/31/2024,289,0.024221453,7
4/1/2024,597,0.033500838,20
4/2/2024,595,0.031932773,19
4/3/2024,581,0.056798623,33
4/4/2024,706,0.033994334,24
4/5/2024,564,0.031914894,18
4/6/2024,230,0.026086957,6
4/7/2024,272,0.040441176,11
4/8/2024,843,0.072360617,61
4/9/2024,575,0.057391304,33
4/10/2024,732,0.035519126,26
4/11/2024,697,0.038737446,27
4/12/2024,578,0.046712803,27
4/13/2024,281,0.03202847,9
4/14/2024,275,0.025454545,7
4/15/2024,823,0.046172539,38
4/16/2024,654,0.02293578,15
4/17/2024,685,0.030656934,21
4/18/2024,710,0.03943662,28
4/19/2024,582,0.041237113,24
4/20/2024,327,0.024464832,8
4/21/2024,297,0.03030303,9
4/22/2024,736,0.036684783,27
4/23/2024,713,0.037868163,27
4/24/2024,617,0.037277147,23
4/25/2024,561,0.046345811,26
4/26/2024,484,0.030991736,15
4/27/2024,250,0.02,5
4/28/2024,270,0.037037037,10
4/29/2024,761,0.044678055,34
4/30/2024,623,0.043338684,27
5/1/2024,228,0,0
5/2/2024,171,0,0
5/3/2024,128,0,0
5/4/2024,47,0,0
5/5/2024,49,0,0
5/6/2024,1042,0.039347409,41
5/7/2024,890,0.030337079,27
5/8/2024,788,0.040609137,32
5/9/2024,804,0.050995025,41
5/10/2024,733,0.045020464,33
5/11/2024,336,0.038690476,13
5/12/2024,316,0.018987342,6
5/13/2024,868,0.048387097,42
5/14/2024,672,0.03422619,23
5/15/2024,644,0.043478261,28
5/16/2024,714,0.040616246,29
5/17/2024,515,0.034951456,18
5/18/2024,176,0.028409091,5
5/19/2024,223,0.01793722,4
5/20/2024,664,0.05873494,39
5/21/2024,737,0.047489824,35
5/22/2024,648,0.040123457,26
5/23/2024,567,0.0335097,19
5/24/2024,575,0.046956522,27
5/25/2024,232,0.043103448,10
5/26/2024,211,0.042654028,9
5/27/2024,402,0.019900498,8
5/28/2024,641,0.028081123,18
5/29/2024,609,0.049261084,30
5/30/2024,597,0.060301508,36
5/31/2024,455,0.035164835,16
6/1/2024,271,0.040590406,11
6/2/2024,245,0.012244898,3
6/3/2024,698,0.038681948,27
